evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1571419718,1571419720,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,1.420243501663208
1,1571419720,1571419721,9.223372036854776e+18,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '2', '128']",000_00001.dat,0,2.8800535202026367
2,1571419721,1571419731,9.319,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '3', '128']",000_00002.dat,0,13.301916360855103
3,1571419732,1571419733,9.223372036854776e+18,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '256']",000_00003.dat,0,14.563628196716309
4,1571419733,1571419734,9.223372036854776e+18,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'static', '8', '2', '2', '256']",000_00004.dat,0,15.854928731918335
5,1571419734,1571419735,9.223372036854776e+18,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00005.dat,0,17.13162636756897
6,1571419735,1571419737,9.223372036854776e+18,"['c', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '2', '256']",000_00006.dat,0,18.446983337402344
7,1571419737,1571419737,9.223372036854776e+18,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '8', '8', '3', '256']",000_00007.dat,0,19.160398483276367
8,1571419737,1571419738,9.223372036854776e+18,"['b', 'c', 'c', 'a', 'b', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '3', '64']",000_00008.dat,0,19.864977836608887
9,1571419739,1571419752,11.938,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'static', '1', '4', '1', '32']",000_00009.dat,0,33.52216124534607
10,1571419754,1571419766,11.757,"['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'static', '1', '4', '3', '128']",000_00010.dat,0,48.33117198944092
11,1571419768,1571419781,11.655,"['a', 'a', 'a', 'b', 'b', 'a', 'b', 'a', 'b', 'static', '1', '4', '3', '128']",000_00011.dat,0,62.97345948219299
