evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1571419163,1571419166,0.103,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,2.7699060440063477
1,1571419166,1571419167,0.072,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '2', '128']",000_00001.dat,0,4.243780612945557
2,1571419167,1571419169,0.122,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '3', '128']",000_00002.dat,0,5.532176733016968
3,1571419169,1571419170,0.109,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '256']",000_00003.dat,0,6.859416246414185
4,1571419170,1571419171,9.223372036854776e+18,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'static', '8', '2', '2', '256']",000_00004.dat,0,7.781229257583618
5,1571419171,1571419172,0.135,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00005.dat,0,8.96913766860962
6,1571419172,1571419173,9.223372036854776e+18,"['c', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '2', '256']",000_00006.dat,0,9.873822689056396
7,1571419173,1571419174,9.223372036854776e+18,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '8', '8', '3', '256']",000_00007.dat,0,10.396506786346436
8,1571419174,1571419174,9.223372036854776e+18,"['b', 'c', 'c', 'a', 'b', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '3', '64']",000_00008.dat,0,10.997040748596191
9,1571419175,1571419176,0.116,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'static', '1', '4', '1', '32']",000_00009.dat,0,12.783939838409424
10,1571419178,1571419179,0.116,"['a', 'c', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'static', '8', '4', '1', '128']",000_00010.dat,0,15.792237758636475
11,1571419181,1571419182,0.118,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'dynamic', '8', '1', '1', '128']",000_00011.dat,0,18.750427961349487
12,1571419184,1571419185,0.118,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'a', 'b', 'static', '8', '28', '1', '128']",000_00012.dat,0,21.75394558906555
13,1571419187,1571419188,0.116,"['a', 'c', 'b', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '16', '4', '1', '128']",000_00013.dat,0,24.88082718849182
14,1571419190,1571419191,0.116,"['a', 'c', 'b', 'b', 'b', 'a', 'a', 'b', 'b', 'dynamic', '8', '28', '1', '128']",000_00014.dat,0,28.04979109764099
15,1571419193,1571419194,0.115,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'a', 'b', 'static', '8', '4', '1', '128']",000_00015.dat,0,31.249389171600342
16,1571419196,1571419198,0.117,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'dynamic', '8', '14', '1', '128']",000_00016.dat,0,34.294071674346924
17,1571419199,1571419201,0.118,"['a', 'c', 'a', 'b', 'a', 'b', 'a', 'b', 'b', 'static', '8', '1', '1', '128']",000_00017.dat,0,37.356722831726074
18,1571419202,1571419204,0.117,"['a', 'c', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'static', '16', '4', '1', '128']",000_00018.dat,0,40.37289905548096
19,1571419206,1571419207,0.109,"['a', 'c', 'a', 'a', 'b', 'b', 'a', 'a', 'b', 'static', '16', '16', '1', '128']",000_00019.dat,0,43.41555142402649
20,1571419208,1571419210,0.115,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'a', 'b', 'dynamic', '1', '16', '1', '128']",000_00020.dat,0,46.556291818618774
21,1571419212,1571419213,0.116,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'dynamic', '16', '14', '1', '128']",000_00021.dat,0,49.7148334980011
22,1571419215,1571419216,0.121,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '16', '1', '1', '128']",000_00022.dat,0,52.691609382629395
23,1571419218,1571419219,0.118,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '14', '1', '128']",000_00023.dat,0,55.810041666030884
24,1571419221,1571419222,0.119,"['a', 'c', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'static', '8', '28', '1', '128']",000_00024.dat,0,58.888495206832886
25,1571419224,1571419225,0.116,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'a', 'b', 'dynamic', '16', '14', '1', '128']",000_00025.dat,0,61.977171659469604
26,1571419227,1571419229,0.116,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'static', '8', '1', '1', '128']",000_00026.dat,0,65.31634259223938
27,1571419230,1571419232,0.115,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '16', '4', '1', '128']",000_00027.dat,0,68.40455985069275
28,1571419234,1571419235,0.118,"['a', 'c', 'c', 'a', 'b', 'a', 'a', 'a', 'b', 'dynamic', '16', '16', '1', '128']",000_00028.dat,0,71.49193954467773
29,1571419237,1571419238,0.111,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '4', '1', '128']",000_00029.dat,0,74.69693398475647
30,1571419240,1571419241,0.115,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '14', '1', '128']",000_00030.dat,0,77.87955975532532
31,1571419243,1571419244,0.118,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'dynamic', '8', '28', '1', '128']",000_00031.dat,0,80.91938185691833
32,1571419246,1571419247,0.129,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'a', 'b', 'dynamic', '8', '1', '1', '128']",000_00032.dat,0,83.94090914726257
33,1571419249,1571419250,0.112,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '16', '16', '1', '128']",000_00033.dat,0,86.99956369400024
34,1571419252,1571419253,0.116,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '14', '1', '128']",000_00034.dat,0,90.02432441711426
35,1571419255,1571419256,0.12,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '16', '1', '1', '128']",000_00035.dat,0,93.0667142868042
36,1571419258,1571419259,0.131,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'b', 'dynamic', '16', '28', '1', '128']",000_00036.dat,0,96.23013544082642
37,1571419261,1571419263,0.107,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '1', '128']",000_00037.dat,0,99.29189014434814
38,1571419264,1571419266,0.118,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'static', '16', '4', '1', '128']",000_00038.dat,0,102.40936827659607
39,1571419268,1571419269,0.12,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'static', '8', '1', '1', '128']",000_00039.dat,0,105.55809354782104
40,1571419271,1571419272,0.118,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '16', '2', '1', '128']",000_00040.dat,0,108.53843593597412
41,1571419274,1571419275,0.118,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '8', '14', '1', '128']",000_00041.dat,0,111.63336396217346
42,1571419277,1571419278,0.115,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '1', '4', '1', '128']",000_00042.dat,0,114.85411286354065
43,1571419280,1571419281,0.137,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '8', '28', '1', '128']",000_00043.dat,0,117.84229230880737
44,1571419283,1571419284,0.117,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'static', '8', '1', '1', '128']",000_00044.dat,0,120.9698805809021
45,1571419286,1571419287,0.115,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'static', '16', '16', '1', '128']",000_00045.dat,0,124.25602436065674
46,1571419290,1571419291,0.116,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '16', '16', '1', '128']",000_00046.dat,0,127.48789119720459
47,1571419293,1571419294,0.112,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'dynamic', '1', '28', '1', '128']",000_00047.dat,0,130.64579272270203
48,1571419296,1571419297,0.12,"['a', 'c', 'c', 'b', 'b', 'a', 'a', 'b', 'b', 'static', '16', '16', '1', '128']",000_00048.dat,0,133.8206558227539
49,1571419299,1571419300,0.118,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'dynamic', '1', '1', '1', '128']",000_00049.dat,0,137.0160415172577
50,1571419302,1571419303,0.116,"['a', 'c', 'a', 'b', 'b', 'a', 'a', 'a', 'b', 'static', '16', '16', '1', '128']",000_00050.dat,0,140.0597858428955
51,1571419305,1571419306,0.126,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '1', '128']",000_00051.dat,0,143.1366195678711
52,1571419308,1571419309,0.116,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'dynamic', '8', '16', '1', '128']",000_00052.dat,0,146.23553729057312
53,1571419311,1571419313,0.115,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '8', '14', '1', '128']",000_00053.dat,0,149.42287373542786
54,1571419315,1571419316,0.115,"['a', 'c', 'c', 'b', 'b', 'a', 'a', 'b', 'b', 'static', '16', '16', '1', '128']",000_00054.dat,0,152.58966207504272
55,1571419318,1571419319,0.115,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '1', '16', '1', '128']",000_00055.dat,0,155.82155084609985
56,1571419321,1571419322,0.115,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '8', '14', '1', '128']",000_00056.dat,0,159.1557698249817
57,1571419324,1571419326,0.116,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '8', '14', '1', '128']",000_00057.dat,0,162.44895434379578
58,1571419328,1571419329,0.118,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '16', '1', '1', '128']",000_00058.dat,0,165.64415955543518
59,1571419331,1571419332,0.118,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '14', '1', '128']",000_00059.dat,0,168.68979620933533
60,1571419334,1571419335,0.115,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '16', '4', '1', '128']",000_00060.dat,0,171.75485181808472
61,1571419337,1571419338,0.112,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '14', '1', '128']",000_00061.dat,0,175.03541588783264
62,1571419340,1571419342,0.115,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '16', '14', '1', '128']",000_00062.dat,0,178.29248929023743
63,1571419344,1571419345,0.118,"['a', 'c', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'dynamic', '16', '1', '1', '128']",000_00063.dat,0,181.51971793174744
