evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1573490969,1573490969,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,0.3895070552825928
1,1573490969,1573490969,9.223372036854776e+18,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'a', 'static', '1', '14', '2', '64', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '8', '2', '2', '32']",000_00001.dat,0,0.6470701694488525
2,1573490969,1573490970,0.045,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'a', 'static', '16', '28', '2', '256', 'b', 'b', 'b', 'a', 'b', 'a', 'a', 'dynamic', '1', '28', '3', '32']",000_00002.dat,0,1.6624553203582764
3,1573490970,1573490971,9.223372036854776e+18,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '1', '1', '3', '128', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'dynamic', '16', '2', '2', '32']",000_00003.dat,0,1.9539523124694824
4,1573490971,1573490972,9.223372036854776e+18,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'a', 'static', '1', '8', '3', '128', 'b', 'b', 'a', 'b', 'b', 'a', 'a', 'static', '8', '1', '3', '64']",000_00004.dat,0,2.783479690551758
5,1573490972,1573490972,9.223372036854776e+18,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'b', 'static', '1', '8', '3', '256', 'a', 'a', 'a', 'b', 'a', 'b', 'b', 'dynamic', '8', '28', '1', '256']",000_00005.dat,0,3.0386948585510254
6,1573490972,1573490973,9.223372036854776e+18,"['c', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'b', 'static', '8', '4', '3', '64', 'b', 'b', 'a', 'b', 'a', 'a', 'b', 'dynamic', '8', '16', '1', '64']",000_00006.dat,0,3.8795762062072754
7,1573490973,1573490973,9.223372036854776e+18,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'a', 'dynamic', '8', '28', '3', '32', 'a', 'a', 'b', 'b', 'a', 'b', 'a', 'dynamic', '1', '2', '3', '64']",000_00007.dat,0,4.184136152267456
8,1573490973,1573490973,9.223372036854776e+18,"['b', 'c', 'c', 'a', 'b', 'b', 'b', 'b', 'a', 'b', 'static', '8', '28', '2', '128', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'static', '1', '2', '3', '32']",000_00008.dat,0,4.444387674331665
9,1573490974,1573490974,9.223372036854776e+18,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'static', '8', '1', '1', '32', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'static', '1', '1', '2', '128']",000_00009.dat,0,5.658811330795288
10,1573490977,1573490977,9.223372036854776e+18,"['c', 'a', 'c', 'a', 'b', 'a', 'a', 'b', 'b', 'a', 'dynamic', '8', '28', '2', '128', 'b', 'b', 'b', 'a', 'b', 'a', 'b', 'dynamic', '1', '8', '3', '64']",000_00010.dat,0,8.666640996932983
11,1573490980,1573490980,9.223372036854776e+18,"['b', 'a', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'a', 'dynamic', '1', '28', '2', '32', 'a', 'b', 'b', 'a', 'a', 'a', 'b', 'dynamic', '16', '1', '1', '32']",000_00011.dat,0,11.621278524398804
12,1573490983,1573490984,9.223372036854776e+18,"['c', 'a', 'c', 'b', 'b', 'b', 'b', 'a', 'a', 'b', 'static', '16', '16', '2', '64', 'b', 'b', 'b', 'a', 'b', 'a', 'a', 'dynamic', '1', '28', '3', '32']",000_00012.dat,0,15.470944881439209
13,1573490987,1573490987,9.223372036854776e+18,"['b', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'dynamic', '16', '28', '2', '32', 'a', 'a', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '28', '3', '32']",000_00013.dat,0,18.505967617034912
14,1573490990,1573490990,9.223372036854776e+18,"['b', 'a', 'a', 'a', 'b', 'b', 'b', 'a', 'b', 'a', 'dynamic', '16', '28', '2', '32', 'a', 'b', 'a', 'a', 'b', 'b', 'b', 'dynamic', '1', '28', '3', '32']",000_00014.dat,0,21.426748275756836
15,1573490993,1573490993,9.223372036854776e+18,"['a', 'b', 'a', 'a', 'a', 'b', 'a', 'b', 'b', 'b', 'dynamic', '16', '28', '2', '128', 'a', 'b', 'b', 'a', 'b', 'a', 'b', 'static', '1', '28', '1', '32']",000_00015.dat,0,24.452157497406006
16,1573490996,1573490996,9.223372036854776e+18,"['b', 'a', 'c', 'a', 'b', 'a', 'a', 'b', 'b', 'b', 'static', '16', '28', '3', '32', 'a', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '16', '28', '3', '128']",000_00016.dat,0,27.45190119743347
17,1573490999,1573491000,9.223372036854776e+18,"['c', 'a', 'c', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'dynamic', '16', '1', '3', '32', 'b', 'a', 'a', 'a', 'a', 'b', 'a', 'static', '1', '28', '3', '64']",000_00017.dat,0,30.982032537460327
18,1573491003,1573491003,9.223372036854776e+18,"['b', 'a', 'b', 'a', 'b', 'a', 'a', 'b', 'b', 'b', 'dynamic', '16', '14', '2', '64', 'b', 'b', 'a', 'b', 'b', 'a', 'a', 'dynamic', '1', '28', '2', '32']",000_00018.dat,0,34.07536005973816
19,1573491006,1573491006,9.223372036854776e+18,"['b', 'c', 'c', 'b', 'b', 'a', 'a', 'b', 'a', 'a', 'dynamic', '16', '28', '1', '32', 'b', 'b', 'b', 'b', 'b', 'b', 'a', 'static', '16', '28', '3', '32']",000_00019.dat,0,37.11477184295654
20,1573491009,1573491010,0.103,"['b', 'a', 'c', 'b', 'b', 'a', 'b', 'b', 'b', 'a', 'static', '16', '2', '2', '64', 'b', 'b', 'b', 'a', 'b', 'a', 'a', 'dynamic', '1', '1', '3', '256']",000_00020.dat,0,40.81225848197937
21,1573491012,1573491013,0.043,"['b', 'a', 'c', 'b', 'b', 'a', 'a', 'b', 'b', 'b', 'static', '16', '8', '1', '64', 'b', 'b', 'b', 'a', 'a', 'a', 'a', 'static', '1', '1', '1', '256']",000_00021.dat,0,44.36369466781616
22,1573491016,1573491016,9.223372036854776e+18,"['a', 'c', 'c', 'b', 'a', 'b', 'a', 'b', 'b', 'b', 'static', '16', '8', '1', '64', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'static', '1', '1', '1', '256']",000_00022.dat,0,47.45748567581177
23,1573491019,1573491019,9.223372036854776e+18,"['b', 'a', 'b', 'b', 'a', 'b', 'a', 'b', 'b', 'a', 'static', '16', '14', '1', '256', 'a', 'b', 'b', 'a', 'b', 'a', 'b', 'dynamic', '16', '1', '3', '256']",000_00023.dat,0,50.606698751449585
24,1573491022,1573491023,9.223372036854776e+18,"['c', 'a', 'c', 'b', 'b', 'a', 'a', 'b', 'a', 'b', 'static', '16', '4', '2', '256', 'b', 'b', 'b', 'b', 'a', 'a', 'a', 'dynamic', '1', '1', '1', '256']",000_00024.dat,0,54.218708992004395
25,1573491026,1573491026,9.223372036854776e+18,"['b', 'b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'a', 'static', '16', '28', '3', '256', 'b', 'b', 'a', 'a', 'b', 'a', 'a', 'dynamic', '1', '1', '3', '256']",000_00025.dat,0,57.417675733566284
26,1573491029,1573491030,0.065,"['b', 'a', 'b', 'b', 'b', 'a', 'b', 'a', 'b', 'a', 'dynamic', '16', '8', '3', '64', 'b', 'b', 'a', 'a', 'b', 'a', 'b', 'static', '1', '1', '1', '256']",000_00026.dat,0,61.348655223846436
