evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1570199469,1570199471,9.223372036854776e+18,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,1.626115083694458
1,1570199471,1570199472,9.223372036854776e+18,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '2', '128']",000_00001.dat,0,2.357801914215088
2,1570199472,1570199473,9.223372036854776e+18,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '3', '128']",000_00002.dat,0,3.20243501663208
3,1570199473,1570199474,9.223372036854776e+18,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '256']",000_00003.dat,0,4.63018798828125
4,1570199474,1570199475,9.223372036854776e+18,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'static', '8', '2', '2', '256']",000_00004.dat,0,5.926694869995117
5,1570199475,1570199476,9.223372036854776e+18,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00005.dat,0,7.080949306488037
6,1570199477,1570199478,9.223372036854776e+18,"['c', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '2', '256']",000_00006.dat,0,8.506062507629395
7,1570199478,1570199479,9.223372036854776e+18,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '8', '8', '3', '256']",000_00007.dat,0,9.17412781715393
8,1570199479,1570199479,9.223372036854776e+18,"['b', 'c', 'c', 'a', 'b', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '3', '64']",000_00008.dat,0,9.883338212966919
9,1570199480,1570199504,22.888,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'static', '1', '4', '1', '32']",000_00009.dat,0,34.40145015716553
10,1570199506,1570199528,21.34,"['a', 'a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'static', '1', '1', '1', '64']",000_00010.dat,0,58.540645599365234
11,1570199530,1570199553,22.218,"['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a', 'static', '1', '2', '1', '128']",000_00011.dat,0,83.6064202785492
