evalnum,startTime,endTime,cost,x,key,status,elapsed_time
0,1569687142,1569687143,1.7976931348623157e+308,"['b', 'b', 'c', 'b', 'b', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '128']",000_00000.dat,0,0.9707217216491699
1,1569687143,1569687144,1.7976931348623157e+308,"['b', 'c', 'a', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '8', '1', '2', '128']",000_00001.dat,0,1.6976203918457031
2,1569687144,1569687145,1.7976931348623157e+308,"['b', 'a', 'c', 'b', 'b', 'b', 'a', 'b', 'b', 'static', '1', '28', '3', '128']",000_00002.dat,0,2.3729546070098877
3,1569687145,1569687145,1.7976931348623157e+308,"['a', 'c', 'a', 'b', 'a', 'b', 'b', 'b', 'b', 'static', '8', '2', '1', '256']",000_00003.dat,0,3.095658302307129
4,1569687146,1569687146,1.7976931348623157e+308,"['c', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b', 'static', '8', '2', '2', '256']",000_00004.dat,0,3.8436169624328613
5,1569687146,1569687147,1.7976931348623157e+308,"['a', 'c', 'b', 'b', 'a', 'b', 'a', 'a', 'a', 'dynamic', '8', '4', '2', '256']",000_00005.dat,0,4.515231132507324
6,1569687147,1569687148,1.7976931348623157e+308,"['c', 'b', 'c', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '2', '256']",000_00006.dat,0,5.248105764389038
7,1569687148,1569687148,1.7976931348623157e+308,"['b', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'a', 'static', '8', '8', '3', '256']",000_00007.dat,0,5.96455454826355
8,1569687148,1569687149,1.7976931348623157e+308,"['b', 'c', 'c', 'a', 'b', 'b', 'b', 'b', 'a', 'dynamic', '1', '8', '3', '64']",000_00008.dat,0,6.618836402893066
9,1569687150,1569687150,1.7976931348623157e+308,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'a', 'a', 'static', '1', '4', '1', '32']",000_00009.dat,0,7.889996528625488
10,1569687152,1569687153,1.7976931348623157e+308,"['a', 'b', 'a', 'a', 'b', 'b', 'b', 'b', 'a', 'dynamic', '8', '28', '3', '64']",000_00010.dat,0,10.281250953674316
11,1569687154,1569687155,1.7976931348623157e+308,"['c', 'a', 'a', 'b', 'b', 'b', 'b', 'a', 'a', 'static', '8', '8', '1', '32']",000_00011.dat,0,12.580992460250854
12,1569687157,1569687157,1.7976931348623157e+308,"['c', 'b', 'b', 'a', 'a', 'a', 'b', 'a', 'b', 'static', '8', '28', '3', '128']",000_00012.dat,0,14.849937677383423
13,1569687159,1569687160,1.7976931348623157e+308,"['a', 'c', 'a', 'b', 'b', 'b', 'a', 'a', 'a', 'dynamic', '8', '14', '1', '128']",000_00013.dat,0,17.192360877990723
14,1569687161,1569687162,1.7976931348623157e+308,"['b', 'b', 'b', 'b', 'b', 'a', 'a', 'a', 'a', 'dynamic', '1', '4', '2', '64']",000_00014.dat,0,19.48052430152893
15,1569687163,1569687164,1.7976931348623157e+308,"['b', 'c', 'a', 'a', 'b', 'b', 'a', 'b', 'b', 'dynamic', '16', '14', '1', '256']",000_00015.dat,0,21.69588541984558
16,1569687166,1569687166,1.7976931348623157e+308,"['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'static', '16', '14', '2', '256']",000_00016.dat,0,24.04857039451599
17,1569687168,1569687169,1.7976931348623157e+308,"['c', 'b', 'c', 'a', 'a', 'b', 'a', 'a', 'a', 'static', '16', '16', '1', '128']",000_00017.dat,0,26.349003076553345
18,1569687170,1569687171,1.7976931348623157e+308,"['c', 'b', 'b', 'a', 'b', 'b', 'b', 'a', 'a', 'static', '16', '14', '3', '64']",000_00018.dat,0,28.531126976013184
19,1569687173,1569687173,1.7976931348623157e+308,"['b', 'a', 'a', 'a', 'b', 'b', 'a', 'a', 'b', 'dynamic', '1', '4', '2', '64']",000_00019.dat,0,30.82057809829712
20,1569687175,1569687175,1.7976931348623157e+308,"['b', 'a', 'a', 'b', 'a', 'b', 'a', 'a', 'b', 'dynamic', '1', '28', '3', '32']",000_00020.dat,0,33.05395579338074
21,1569687177,1569687178,1.7976931348623157e+308,"['c', 'a', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'dynamic', '16', '2', '3', '32']",000_00021.dat,0,35.32211780548096
22,1569687179,1569687180,1.7976931348623157e+308,"['c', 'a', 'c', 'a', 'a', 'a', 'a', 'b', 'a', 'static', '8', '1', '3', '32']",000_00022.dat,0,37.58568835258484
23,1569687182,1569687182,1.7976931348623157e+308,"['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a', 'dynamic', '8', '8', '2', '64']",000_00023.dat,0,39.859086990356445
24,1569687184,1569687185,1.7976931348623157e+308,"['b', 'a', 'c', 'b', 'a', 'a', 'a', 'a', 'a', 'static', '8', '14', '2', '256']",000_00024.dat,0,42.12181782722473
25,1569687186,1569687187,1.7976931348623157e+308,"['a', 'a', 'b', 'a', 'b', 'b', 'a', 'b', 'b', 'dynamic', '1', '1', '2', '64']",000_00025.dat,0,44.371405839920044
26,1569687188,1569687189,1.7976931348623157e+308,"['b', 'a', 'c', 'b', 'b', 'a', 'b', 'a', 'b', 'static', '1', '28', '1', '128']",000_00026.dat,0,46.64131498336792
27,1569687191,1569687191,1.7976931348623157e+308,"['c', 'c', 'b', 'a', 'a', 'b', 'a', 'a', 'b', 'static', '16', '4', '3', '32']",000_00027.dat,0,48.880125761032104
28,1569687193,1569687194,1.7976931348623157e+308,"['b', 'b', 'b', 'a', 'a', 'a', 'a', 'b', 'a', 'static', '1', '28', '2', '32']",000_00028.dat,0,51.15246891975403
29,1569687195,1569687196,1.7976931348623157e+308,"['a', 'a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'static', '8', '28', '3', '256']",000_00029.dat,0,53.48496890068054
30,1569687197,1569687198,1.7976931348623157e+308,"['b', 'c', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'static', '1', '16', '2', '128']",000_00030.dat,0,55.7555468082428
31,1569687200,1569687200,1.7976931348623157e+308,"['c', 'c', 'c', 'a', 'a', 'a', 'a', 'a', 'a', 'static', '16', '16', '1', '128']",000_00031.dat,0,58.04165244102478
32,1569687202,1569687203,1.7976931348623157e+308,"['c', 'c', 'a', 'a', 'b', 'a', 'b', 'a', 'b', 'static', '8', '28', '2', '128']",000_00032.dat,0,60.333330392837524
